hgnc_id,symbol,ensembl_gene_id,class,name,uniprot_ids,entrez_id,alias_symbol,kinase_com_name
HGNC:1985,CIT,ENSG00000122966,Light,citron rho-interacting serine/threonine kinase,O14578,11113,CIT|KIAA0949|STK21|CRIK|CITK,CRIK
HGNC:1991,CKB,ENSG00000166165,Light,creatine kinase B,P12277,1152,CKB,NA
HGNC:1994,CKM,ENSG00000104879,Light,"creatine kinase, M-type",P06732,1158,CKM,NA
HGNC:31736,CKMT1A,ENSG00000223572,Light,"creatine kinase, mitochondrial 1A",P12532,548596,CKMT1A,NA
HGNC:1995,CKMT1B,ENSG00000237289,Light,"creatine kinase, mitochondrial 1B",P12532,1159,CKMT1B|UMTCK,NA
HGNC:1996,CKMT2,ENSG00000131730,Light,"creatine kinase, mitochondrial 2",P17540,1160,CKMT2|SMTCK,NA
HGNC:2068,CLK1,ENSG00000013441,Light,CDC like kinase 1,P49759,1195,CLK1,CLK1
HGNC:2069,CLK2,ENSG00000176444,Light,CDC like kinase 2,P49760,1196,CLK2|clk2,CLK2
HGNC:2071,CLK3,ENSG00000179335,Dark,CDC like kinase 3,P49761,1198,CLK3|clk3,CLK3
HGNC:13659,CLK4,ENSG00000113240,Dark,CDC like kinase 4,Q9HAZ1,57396,CLK4,CLK4
HGNC:2205,COL4A3BP,ENSG00000113163,Light,collagen type IV alpha 3 binding protein,Q9Y5P4,10087,COL4A3BP|GPBP|STARD11|CERT,NA
HGNC:16812,COQ8A,ENSG00000163050,Dark,coenzyme Q8A,Q8NI60,56997,COQ8A|COQ8|SCAR9,ADCK3
HGNC:19041,COQ8B,ENSG00000123815,Dark,coenzyme Q8B,Q96D53,79934,COQ8B|FLJ12229|COQ8,ADCK4
HGNC:2433,CSF1R,ENSG00000182578,Light,colony stimulating factor 1 receptor,P07333,1436,CSF1R|C-FMS|CSFR|CD115,FMS
HGNC:2444,CSK,ENSG00000103653,Light,C-terminal Src kinase,P41240,1445,CSK,CSK
HGNC:2451,CSNK1A1,ENSG00000113712,Light,casein kinase 1 alpha 1,P48729,1452,CSNK1A1|CK1|CK1a|CK1alpha|CKIa|CKIalpha,CK1a
HGNC:20289,CSNK1A1L,ENSG00000180138,Dark,casein kinase 1 alpha 1 like,Q8N752,122011,CSNK1A1L|MGC33182,CK1a2
HGNC:2452,CSNK1D,ENSG00000141551,Light,casein kinase 1 delta,P48730,1453,CSNK1D|HCKID|CKID|CKIdelta,CK1d
HGNC:2453,CSNK1E,ENSG00000213923,Light,casein kinase 1 epsilon,P49674,1454,CSNK1E|HCKIE|CKIE|CKIepsilon,CK1e
HGNC:2454,CSNK1G1,ENSG00000169118,Dark,casein kinase 1 gamma 1,Q9HCP0,53944,CSNK1G1|CK1gamma1,CK1g1
HGNC:2455,CSNK1G2,ENSG00000133275,Dark,casein kinase 1 gamma 2,P78368,1455,CSNK1G2|CK1g2,CK1g2
HGNC:2456,CSNK1G3,ENSG00000151292,Dark,casein kinase 1 gamma 3,Q9Y6M4,1456,CSNK1G3,CK1g3
HGNC:2457,CSNK2A1,ENSG00000101266,Light,casein kinase 2 alpha 1,P68400,1457,CSNK2A1|Cka1|Cka2,CK2a1
HGNC:2459,CSNK2A2,ENSG00000070770,Dark,casein kinase 2 alpha 2,P19784,1459,CSNK2A2|CSNK2A1|CK2alpha',CK2a2
HGNC:2458,CSNK2A3,ENSG00000254598,Dark,casein kinase 2 alpha 3,Q8NEV1,283106,CSNK2A3,NA
HGNC:2674,DAPK1,ENSG00000196730,Light,death associated protein kinase 1,P53355,1612,DAPK1|DAPK|ROCO3,DAPK1
HGNC:2675,DAPK2,ENSG00000035664,Light,death associated protein kinase 2,Q9UIK4,23604,DAPK2|DRP-1|MGC119312,DAPK2
HGNC:2676,DAPK3,ENSG00000167657,Light,death associated protein kinase 3,O43293,1613,DAPK3|ZIP|ZIPK,DAPK3
HGNC:2700,DCLK1,ENSG00000133083,Light,doublecortin like kinase 1,O15075,9201,DCLK1|KIAA0369|DCLK|DCDC3A,DCLK1
HGNC:19002,DCLK2,ENSG00000170390,Light,doublecortin like kinase 2,Q8N568,166614,DCLK2|MGC45428|DCDC3|DCDC3B|DCK2,DCLK2
HGNC:19005,DCLK3,ENSG00000163673,Dark,doublecortin like kinase 3,Q9C098,85443,DCLK3|KIAA1765|DCDC3C,DCLK3
HGNC:2730,DDR1,ENSG00000204580,Light,discoidin domain receptor tyrosine kinase 1,Q08345,780,DDR1|RTK6|CD167,DDR1
HGNC:2731,DDR2,ENSG00000162733,Light,discoidin domain receptor tyrosine kinase 2,Q16832,4921,DDR2|TKT,DDR2
HGNC:2849,DGKA,ENSG00000065357,Light,diacylglycerol kinase alpha,P23743,1606,DGKA|DGK-alpha,NA
HGNC:2850,DGKB,ENSG00000136267,Light,diacylglycerol kinase beta,Q9Y6T7,1607,DGKB|KIAA0718|DGK|DGK-BETA,NA
HGNC:2851,DGKD,ENSG00000077044,Light,diacylglycerol kinase delta,Q16760,8527,DGKD|KIAA0145|DGKdelta,NA
HGNC:2852,DGKE,ENSG00000153933,Light,diacylglycerol kinase epsilon,P52429,8526,DGKE|DAGK6|DGK,NA
HGNC:2853,DGKG,ENSG00000058866,Light,diacylglycerol kinase gamma,P49619,1608,DGKG,NA
HGNC:2854,DGKH,ENSG00000102780,Light,diacylglycerol kinase eta,Q86XP1,160851,DGKH|DGKeta,NA
HGNC:2855,DGKI,ENSG00000157680,Light,diacylglycerol kinase iota,O75912,9162,DGKI|DGK-IOTA,NA
HGNC:32395,DGKK,ENSG00000274588,Light,diacylglycerol kinase kappa,Q5KSL6,139189,DGKK,NA
HGNC:2856,DGKQ,ENSG00000145214,Light,diacylglycerol kinase theta,P52824,1609,DGKQ|DAGK|DAGK7,NA
HGNC:2857,DGKZ,ENSG00000149091,Light,diacylglycerol kinase zeta,Q13574,8525,DGKZ|DAGK5|hDGKzeta|DGK-ZETA|DAGK6,NA
HGNC:2933,DMPK,ENSG00000104936,Light,DM1 protein kinase,Q09013,1760,DMPK|DMK|DM1PK|MDPK|MT-PK,DMPK1
HGNC:29043,DSTYK,ENSG00000133059,Dark,dual serine/threonine and tyrosine protein kinase,Q6XUX3,25778,DSTYK|KIAA0472|DustyPK|RIP5,SgK496
HGNC:3091,DYRK1A,ENSG00000157540,Light,dual specificity tyrosine phosphorylation regulated kinase 1A,Q13627,1859,DYRK1A,DYRK1A
HGNC:3092,DYRK1B,ENSG00000105204,Dark,dual specificity tyrosine phosphorylation regulated kinase 1B,Q9Y463,9149,DYRK1B|MIRK,DYRK1B
HGNC:3093,DYRK2,ENSG00000127334,Dark,dual specificity tyrosine phosphorylation regulated kinase 2,Q92630,8445,DYRK2,DYRK2
HGNC:3094,DYRK3,ENSG00000143479,Dark,dual specificity tyrosine phosphorylation regulated kinase 3,O43781,8444,DYRK3|RED|REDK|hYAK3-2,DYRK3
HGNC:3095,DYRK4,ENSG00000010219,Dark,dual specificity tyrosine phosphorylation regulated kinase 4,Q9NR20,8798,DYRK4,DYRK4
HGNC:24615,EEF2K,ENSG00000103319,Dark,eukaryotic elongation factor 2 kinase,O00418,29904,EEF2K|eEF-2K|CaMKIII,eEF2K
HGNC:3236,EGFR,ENSG00000146648,Light,epidermal growth factor receptor,P00533,1956,EGFR|ERBB1,EGFR
HGNC:24921,EIF2AK1,ENSG00000086232,Light,eukaryotic translation initiation factor 2 alpha kinase 1,Q9BQI3,27102,EIF2AK1|HRI|KIAA1369,HRI
HGNC:9437,EIF2AK2,ENSG00000055332,Light,eukaryotic translation initiation factor 2 alpha kinase 2,P19525,5610,EIF2AK2|PKR|EIF2AK1|PPP1R83,PKR
HGNC:3255,EIF2AK3,ENSG00000172071,Light,eukaryotic translation initiation factor 2 alpha kinase 3,Q9NZJ5,9451,EIF2AK3|PEK|PERK,PEK
HGNC:19687,EIF2AK4,ENSG00000128829,Light,eukaryotic translation initiation factor 2 alpha kinase 4,Q9P2K8,440275,EIF2AK4|GCN2|KIAA1338,GCN2
HGNC:3385,EPHA1,ENSG00000146904,Light,EPH receptor A1,P21709,2041,EPHA1|EPH,EphA1
HGNC:3386,EPHA2,ENSG00000142627,Light,EPH receptor A2,P29317,1969,EPHA2,EphA2
HGNC:3387,EPHA3,ENSG00000044524,Light,EPH receptor A3,P29320,2042,EPHA3|HEK|HEK4,EphA3
HGNC:3388,EPHA4,ENSG00000116106,Light,EPH receptor A4,P54764,2043,EPHA4|Hek8,EphA4
HGNC:3389,EPHA5,ENSG00000145242,Light,EPH receptor A5,P54756,2044,EPHA5|Hek7|TYRO4|CEK7|EHK1,EphA5
HGNC:19296,EPHA6,ENSG00000080224,Light,EPH receptor A6,Q9UF33,285220,EPHA6|FLJ35246,EphA6
HGNC:3390,EPHA7,ENSG00000135333,Light,EPH receptor A7,Q15375,2045,EPHA7|Hek11,EphA7
HGNC:3391,EPHA8,ENSG00000070886,Light,EPH receptor A8,P29322,2046,EPHA8|Hek3,EphA8
HGNC:19987,EPHA10,ENSG00000183317,Light,EPH receptor A10,Q5JZY3,284656,EPHA10|FLJ16103|FLJ33655,EphA10
HGNC:3392,EPHB1,ENSG00000154928,Light,EPH receptor B1,P54762,2047,EPHB1|Hek6,EphB1
HGNC:3393,EPHB2,ENSG00000133216,Light,EPH receptor B2,P29323,2048,EPHB2|Hek5|Tyro5,EphB2
HGNC:3394,EPHB3,ENSG00000182580,Light,EPH receptor B3,P54753,2049,EPHB3|Hek2|Tyro6,EphB3
HGNC:3395,EPHB4,ENSG00000196411,Light,EPH receptor B4,P54760,2050,EPHB4|Tyro11,EphB4
HGNC:3396,EPHB6,ENSG00000106123,Light,EPH receptor B6,O15197,2051,EPHB6|HEP,EphB6
HGNC:3430,ERBB2,ENSG00000141736,Light,erb-b2 receptor tyrosine kinase 2,P04626,2064,ERBB2|NEU|HER-2|CD340|HER2,ErbB2
HGNC:3431,ERBB3,ENSG00000065361,Light,erb-b2 receptor tyrosine kinase 3,P21860,2065,ERBB3|HER3,ErbB3
HGNC:3432,ERBB4,ENSG00000178568,Light,erb-b2 receptor tyrosine kinase 4,Q15303,2066,ERBB4|ALS19|HER4,ErbB4
HGNC:3449,ERN1,ENSG00000178607,Light,endoplasmic reticulum to nucleus signaling 1,O75460,2081,ERN1|IRE1|IRE1P,IRE1
HGNC:16942,ERN2,ENSG00000134398,Dark,endoplasmic reticulum to nucleus signaling 2,Q76MJ5,10595,ERN2|IRE1b,IRE2
HGNC:24676,FASTK,ENSG00000164896,Light,Fas activated serine/threonine kinase,Q14296,10922,FASTK|FAST,FASTK
HGNC:26150,FASTKD1,ENSG00000138399,Light,FAST kinase domains 1,Q53R41,79675,FASTKD1|FLJ21901,NA
HGNC:29160,FASTKD2,ENSG00000118246,Light,FAST kinase domains 2,Q9NYY8,22868,FASTKD2,NA
HGNC:28758,FASTKD3,ENSG00000124279,Light,FAST kinase domains 3,Q14CZ7,79072,FASTKD3|MGC5297|FLJ23274,NA
HGNC:25790,FASTKD5,ENSG00000215251,Light,FAST kinase domains 5,Q7L8L6,60493,FASTKD5|FLJ13149,NA
HGNC:3655,FER,ENSG00000151422,Light,FER tyrosine kinase,P16591,2241,FER|TYK3|PPP1R74,FER
HGNC:3657,FES,ENSG00000182511,Light,"FES proto-oncogene, tyrosine kinase",P07332,2242,FES|FPS,FES
HGNC:3688,FGFR1,ENSG00000077782,Light,fibroblast growth factor receptor 1,P11362,2260,FGFR1|H2|H3|H4|H5|CEK|FLG|BFGFR|N-SAM|CD331,FGFR1
HGNC:3689,FGFR2,ENSG00000066468,Light,fibroblast growth factor receptor 2,P21802,2263,FGFR2|CEK3|TK14|TK25|ECT1|K-SAM|CD332,FGFR2
HGNC:3690,FGFR3,ENSG00000068078,Light,fibroblast growth factor receptor 3,P22607,2261,FGFR3|CEK2|JTK4|CD333,FGFR3
HGNC:3691,FGFR4,ENSG00000160867,Light,fibroblast growth factor receptor 4,P22455,2264,FGFR4|JTK2|CD334,FGFR4
HGNC:3697,FGR,ENSG00000000938,Light,"FGR proto-oncogene, Src family tyrosine kinase",P09769,2268,FGR|c-fgr|p55c-fgr,FGR
HGNC:3763,FLT1,ENSG00000102755,Light,fms related tyrosine kinase 1,P17948,2321,FLT1|VEGFR1,FLT1
HGNC:3765,FLT3,ENSG00000122025,Light,fms related tyrosine kinase 3,P36888,2322,FLT3|STK1|FLK2|CD135,FLT3
HGNC:3767,FLT4,ENSG00000037280,Light,fms related tyrosine kinase 4,P35916,2324,FLT4|VEGFR3|PCL,FLT4
HGNC:42952,FPGT-TNNI3K,ENSG00000259030,Light,FPGT-TNNI3K readthrough,,100526835,FPGT-TNNI3K,NA
HGNC:3955,FRK,ENSG00000111816,Light,fyn related Src family tyrosine kinase,P42685,2444,FRK|RAK|GTK,FRK
HGNC:4037,FYN,ENSG00000010810,Light,"FYN proto-oncogene, Src family tyrosine kinase",P06241,2534,FYN|SYN|SLK|MGC45350,FYN
HGNC:4113,GAK,ENSG00000178950,Light,cyclin G associated kinase,O14976,2580,GAK|DNAJC26,GAK
HGNC:4195,GCK,ENSG00000106633,Light,glucokinase,P35557,2645,GCK|HK4,NA
HGNC:10013,GRK1,ENSG00000185974,Light,G protein-coupled receptor kinase 1,Q15835,6011,GRK1|GPRK1|RK,RHOK
